city,province
Abbottabad,Khyber Pakhtunkhwa
Abdul Hakim,Punjab
Abdul Khel,Khyber Pakhtunkhwa
Ahmadpur East,Punjab
Akora,Khyber Pakhtunkhwa
Allahabad,Punjab
Arandu,Khyber Pakhtunkhwa
Arifwala,Punjab
Atharan Hazari,Punjab
Attock Khurd,Punjab
Awan Patti,Azad Kashmir
Ayun,Khyber Pakhtunkhwa
Badin,Sindh
Badrashni,Khyber Pakhtunkhwa
Bagh,Azad Kashmir
Bagu Na Mohra,Punjab
Bahawalnagar,Punjab
Bahawalpur,Punjab
Bahrain,Khyber Pakhtunkhwa
Baltit,Gilgit-Baltistan
Bandhi,Sindh
Bannu,Khyber Pakhtunkhwa
Basla,Punjab
Bat Khela,Khyber Pakhtunkhwa
Batgram,Khyber Pakhtunkhwa
Bela,Balochistan
Bhakkar,Punjab
Bhalwal,Punjab
Bhawana,Punjab
Bhimbar,Azad Kashmir
Buni,Khyber Pakhtunkhwa
Bunji,Gilgit-Baltistan
Cantonment,Punjab
Chak Five Hundred Seventy-five,Punjab
Chak Jhumra,Punjab
Chak Sixty-one Gugera Branch,Punjab
Chak Thathi,Punjab
Chak Thirty-six North Branch,Punjab
Chakdarra,Khyber Pakhtunkhwa
Chakwal,Punjab
Chaman,Balochistan
Charbagh,Khyber Pakhtunkhwa
Charsadda,Khyber Pakhtunkhwa
Chauk Azam,Punjab
Chenab Nagar,Punjab
Chilas,Gilgit-Baltistan
Chiniot,Punjab
Chishtian,Punjab
Chitral,Khyber Pakhtunkhwa
Choa Saidan Shah,Punjab
Chunian,Punjab
Dadhar,Balochistan
Dadu,Sindh
Dainyor,Gilgit-Baltistan
Dera Allahyar,Balochistan
Dera Ghazi Khan,Punjab
Dera Ismail Khan,Khyber Pakhtunkhwa
Dhanot,Punjab
Dina,Azad Kashmir
Dinga,Punjab
Dipalpur,Punjab
Doaba,Khyber Pakhtunkhwa
Drazinda,Khyber Pakhtunkhwa
Dulmial,Punjab
Eminabad,Punjab
Faisalabad,Punjab
Faruka,Punjab
Firoza,Punjab
Gadani,Balochistan
Gahi Mammar,Punjab
Gakuch,Gilgit-Baltistan
Ghora Gali,Punjab
Ghota Fatehgarh,Punjab
Ghotki,Sindh
Ghuenke,Punjab
Gilgit,Gilgit-Baltistan
Gojra,Punjab
Goth Tando Sumro,Sindh
Gujar Khan,Punjab
Gujranwala,Punjab
Gujrat,Punjab
Gwadar,Balochistan
Hadali,Punjab
Hafizabad,Punjab
Haider Khel,Khyber Pakhtunkhwa
Haji Shah,Punjab
Hajira,Azad Kashmir
Hala,Sindh
Hangu,Khyber Pakhtunkhwa
Haripur,Khyber Pakhtunkhwa
Harnai,Balochistan
Harunabad,Punjab
Hasilpur,Punjab
Hassan Abdal,Punjab
Hattian Bala,Azad Kashmir
Hujra Shah Muqim,Punjab
Hyderabad City,Sindh
Idak,Khyber Pakhtunkhwa
Islamabad,Islamabad
Jacobabad,Sindh
Jaglot,Gilgit-Baltistan
Jalalabad,Gilgit-Baltistan
Jalalpur Bhattian,Punjab
Jalalpur Jattan,Punjab
Jamshoro,Sindh
Jandola,Khyber Pakhtunkhwa
Jaranwala,Punjab
Jauharabad,Punjab
Jhang City,Punjab
Jhelum,Punjab
Johi,Sindh
Kabirwala,Punjab
Kahan,Balochistan
Kahror Pakka,Punjab
Kalat,Balochistan
Kalu Khan,Khyber Pakhtunkhwa
Kamalia,Punjab
Kambar,Sindh
Kandhkot,Sindh
Kandiaro,Sindh
Kanganpur,Punjab
Karachi,Sindh
Karak,Khyber Pakhtunkhwa
Kashmor,Sindh
Kasur,Punjab
Kathri,Sindh
Khairpur Mirï¿½s,Sindh
Khairpur Tamewah,Punjab
Khanewal,Punjab
Khanpur,Punjab
Khapalu,Gilgit-Baltistan
Kharan,Balochistan
Kharian,Punjab
Khewra,Punjab
Khipro,Sindh
Khushab,Punjab
Khuzdar,Balochistan
Khwazakhela,Khyber Pakhtunkhwa
Kohat,Khyber Pakhtunkhwa
Kot Addu,Punjab
Kot Mumin,Punjab
Kot Radha Kishan,Punjab
Kotla Qasim Khan,Punjab
Kotli,Azad Kashmir
Kotri,Sindh
Kuchlagh,Balochistan
Kulachi,Khyber Pakhtunkhwa
Kumila,Khyber Pakhtunkhwa
Kundian,Punjab
Lahore,Punjab
Lala Musa,Punjab
Lalian,Punjab
Landi Kotal,Khyber Pakhtunkhwa
Larkana,Sindh
Liaquatpur,Punjab
Lodhran,Punjab
Mach,Balochistan
Makhdum Rashid,Punjab
Malak Abad,Khyber Pakhtunkhwa
Malakwal,Punjab
Mandi Bahauddin,Punjab
Mandi Burewala,Punjab
Mankera,Punjab
Mansehra,Khyber Pakhtunkhwa
Mardan,Khyber Pakhtunkhwa
Marot,Punjab
Masho Khel,Khyber Pakhtunkhwa
Matta,Khyber Pakhtunkhwa
Mehrabpur,Sindh
Mian Channun,Punjab
Mian Sahib,Sindh
Mianwali,Punjab
Mingaora,Khyber Pakhtunkhwa
Miro Khan,Sindh
Mirpur Bhtoro,Sindh
Mirpur Khas,Sindh
Mirpur Mathelo,Sindh
Mithi,Sindh
Multan,Punjab
Muridke,Punjab
Murree,Punjab
Muzaffarabad,Azad Kashmir
Muzaffargarh,Punjab
Nankana Sahib,Punjab
Nasatta,Khyber Pakhtunkhwa
Naushahro Firoz,Sindh
Nawabshah,Sindh
Nawan Shahr,Khyber Pakhtunkhwa
New Mirpur,Azad Kashmir
Nowshera,Khyber Pakhtunkhwa
Nurkot,Punjab
Nushki,Balochistan
Okara,Punjab
Pabbi,Khyber Pakhtunkhwa
Pakpattan,Punjab
Panjgur,Balochistan
Parachinar,Khyber Pakhtunkhwa
Pasni,Balochistan
Pasrur,Punjab
Pattoki,Punjab
Peshawar,Khyber Pakhtunkhwa
Phalia,Punjab
Phularwan,Punjab
Pind Dadan Khan,Punjab
Pindi Bhattian,Punjab
Pishin,Balochistan
Qazi Ahmad,Sindh
Quetta,Balochistan
Rahimyar Khan,Punjab
Rangewala,Punjab
Ranipur,Sindh
Ratodero,Sindh
Rawalpindi,Punjab
Renala Khurd,Punjab
Risalpur Cantonment,Khyber Pakhtunkhwa
Rohri,Sindh
Roulia,Punjab
Rukan,Punjab
Sabaur,Punjab
Sadda,Khyber Pakhtunkhwa
Saddiqabad,Punjab
Safdarabad,Khyber Pakhtunkhwa
Safdarabad,Punjab
Sahiwal,Punjab
Saidpur,Islamabad
Saidu Sharif,Khyber Pakhtunkhwa
Sakrand,Sindh
Sambrial,Punjab
Samundri,Punjab
Sanghar,Sindh
Sangota,Khyber Pakhtunkhwa
Sarai Alamgir,Punjab
Sargodha,Punjab
Sarhari,Sindh
Sehwan,Sindh
Shabqadar,Khyber Pakhtunkhwa
Shah Latif Town,Sindh
Shahdadpur,Sindh
Shakargarh,Punjab
Shekhupura,Punjab
Shergarh,Punjab
Shujaabad,Punjab
Sialkot City,Punjab
Sillanwali,Punjab
Skardu,Gilgit-Baltistan
Sujawal,Sindh
Sukheke Mandi,Punjab
Sukkur,Sindh
Sultanpur Mor,Punjab
Surab,Balochistan
Surmon Chogga Grong,Gilgit-Baltistan
Swabi,Khyber Pakhtunkhwa
Talagang,Punjab
Talamba,Punjab
Talhar,Sindh
Tamman,Punjab
Tando Allahyar,Sindh
Tando Muhammad Khan,Sindh
Tank,Khyber Pakhtunkhwa
Taxila,Punjab
Thal,Khyber Pakhtunkhwa
Thari Mir Wah,Sindh
Thatta,Sindh
Timargara,Khyber Pakhtunkhwa
Toba Tek Singh,Punjab
Turbat,Balochistan
Uch Sharif,Punjab
Umarkot,Sindh
Usta Muhammad,Balochistan
Uthal,Balochistan
Vihari,Punjab
Wadala Sandhuan,Punjab
Wahga,Punjab
Washuk,Balochistan
Wazirabad,Punjab
Zafarwal,Punjab
Zhob,Balochistan
Ziarat,Balochistan
